boxID,magnification,imageName,specimenNR,formation,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side
866_1481_404_564,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,827.5556992,0.108681228,448.8600512,355.0961875,340.2271213,190.2275991,483.4730053,284.0633382,475.8459058,351.2963583,1.739125396,0.000242127,6.718476415,5.248221245,6.180995482,6.165094075,6.106711149,-2.219336199,5.829613398,5.861630193
260_852_410_695,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,904.4650647,0.111997211,403.0357037,324.7933914,302.2248415,174.1686443,356.5884039,164.9917473,411.2719748,454.5250103,2.199189636,0.000277884,6.80734368,5.16002405,5.876582186,6.019254735,5.999025153,-2.189281309,5.711171249,6.11925294
571_1148_398_579,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,758.8337252,0.109045103,413.9941413,334.0229119,303.4814844,185.2893577,444.4951583,252.7770581,439.6753131,354.917323,1.725895684,0.000263398,6.631782682,5.221918699,6.096939162,6.08603653,6.025851822,-2.215993697,5.715320602,5.871884869
839_792_459_620,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,823.9530223,0.103701924,466.7429835,358.6632809,297.1902338,216.2408878,400.64022,195.8975939,455.592003,392.7016088,1.808532671,0.000222182,6.714113516,5.376393008,5.993063818,6.121597679,6.14577875,-2.266234608,5.694372452,5.973050058
355_1507_496_620,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,749.054962,0.107416182,437.0913038,352.1623808,319.7241453,194.5305903,501.8780966,302.322661,487.0782886,339.2560766,1.537853318,0.000245752,6.618812361,5.270589427,6.218357255,6.188424867,6.080142106,-2.231044438,5.767458578,5.82675521
331_1906_428_385,x30,003i_CV_1_15v_x30_BSE,003iCV,NKBS,622.3485295,0.090453149,523.445765,414.9106873,306.6414051,198.3838787,537.5892182,343.6307688,549.7922915,258.229676,1.131970272,0.000172803,6.433500273,5.290203935,6.287094734,6.309540555,6.260433424,-2.402923252,5.725679003,5.553849406
275_1615_456_548,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,710.9473181,0.106391178,444.4859689,335.9251263,273.9869125,158.4845835,455.3797724,265.6714429,432.7492866,324.7862975,1.642861907,0.000239358,6.566598332,5.065657324,6.121131735,6.070158545,6.096918489,-2.240632623,5.613080341,5.78316742
1086_1568_400_474,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,691.4506479,0.111859932,358.2226625,282.158917,206.4344923,184.5309527,388.9141735,186.9936242,398.5139974,369.8662831,1.735072425,0.000312264,6.538791779,5.217817215,5.963358686,5.987742623,5.881154755,-2.190507796,5.329983134,5.913141543
310_1253_374_541,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,685.7264647,0.097964302,430.5666013,349.9750638,227.7103584,201.9481089,412.2771432,213.3568285,425.9376072,332.3061091,1.609922329,0.000227524,6.530478809,5.308010778,6.021695801,6.054292874,6.065102019,-2.323152133,5.428074464,5.806056559
749_755_363_478,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,608.8303899,0.115979844,342.0342692,276.169795,236.345661,163.8323852,358.2226625,198.2740392,357.5492931,275.5793728,1.702787284,0.000339088,6.411539723,5.098843864,5.881154755,5.879273236,5.834910934,-2.154338862,5.465295399,5.618875691
712_1788_429_510,x30,003i_CV_2_15v_x30_BSE,003iCV,NKBS,638.2897157,0.104462717,414.9631877,323.9455079,227.1362866,189.4530301,440.7547203,237.5435325,423.1893147,320.6045353,1.508284103,0.00025174,6.45879228,5.244141132,6.088488531,6.047819631,6.028189812,-2.258925043,5.425550219,5.770208387
428_362_393_663,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,825.0841584,0.104842399,429.1571313,374.5438395,338.0525912,168.8337368,433.9933993,272.8816174,467.6522239,369.9515022,1.764311418,0.000244298,6.715485391,5.128914425,6.073029325,6.147724908,6.061823125,-2.255297023,5.823201479,5.913371922
520_1068_445_597,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,804.5582569,0.095544224,489.5458647,413.8592807,337.9607555,209.9020279,508.0900693,313.8091526,521.3372476,358.5473517,1.543258727,0.000195169,6.690293378,5.346640888,6.230658734,6.256397141,6.193478155,-2.348166063,5.822929781,5.882060734
741_676_420_647,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,848.5892372,0.101214053,465.2441195,391.4370902,350.5473461,190.2275991,527.1495988,335.3125568,513.7846483,387.4200981,1.651643816,0.00021755,6.74357525,5.248221245,6.267484377,6.241804205,6.142562256,-2.290517666,5.859495779,5.959509629
213_715_453_613,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,787.0370317,0.099650245,461.2499032,399.3433434,348.6407906,199.6767857,506.7323336,316.8359804,508.7033475,335.7304705,1.54714341,0.000216044,6.668275302,5.296699988,6.227982923,6.231865032,6.133939985,-2.306088775,5.854042139,5.816308667
644_110_317_640,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,796.2845597,0.126980978,346.2831085,290.6961343,314.9473072,145.5984274,305.2270045,175.8568091,337.5142175,332.3955713,2.359262272,0.000366697,6.679956609,4.980852335,5.721055777,5.821607635,5.847256673,-2.063717987,5.752405346,5.80632574
756_1375_447_565,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,804.8695727,0.101668273,462.1787881,378.2371164,335.2326101,173.4008601,468.629433,287.5125465,477.3628209,357.5530874,1.686075114,0.000219976,6.690680243,5.155606024,6.149812335,6.168276833,6.135951804,-2.286039991,5.814824649,5.879283847
14_1060_378_574,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,735.3461932,0.107524102,410.2676623,329.4549393,274.4955101,176.1275784,366.0429055,194.7474388,403.4645029,337.1313638,1.822579652,0.000262083,6.6003414,5.17120861,5.902750555,6.000088511,6.016809782,-2.230040249,5.614934904,5.820472658
998_1708_373_599,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,822.3337049,0.107158872,422.2133507,344.2206253,308.3349249,166.4950265,383.9249969,210.8404676,427.7239182,387.3706913,1.922580594,0.000253803,6.71214628,5.114965438,5.950447213,6.058477937,6.045510757,-2.233442763,5.731186611,5.959382093
1032_1040_398_603,x30,004_CC_1_15v_x30_BSE,004CC,NKBS,774.4356456,0.097571974,458.6687021,389.5647836,306.280189,208.1563965,501.9784621,302.0928932,504.4919076,367.2115877,1.535080412,0.000212729,6.652134565,5.338289703,6.218557215,6.223551799,6.128328168,-2.327164981,5.724500333,5.905938215
658_1678_409_661,x30,004_CC_2_15v_x30_BSE,004CC,NKBS,738.236321,0.09377331,472.5958523,412.8084943,296.0437089,206.4355776,467.0083615,272.5221421,503.4734323,328.6044936,1.466286548,0.000198422,6.604263991,5.329988391,6.146347162,6.221530945,6.158240588,-2.366875008,5.690507109,5.79485488
629_911_446_615,x30,004_CC_2_15v_x30_BSE,004CC,NKBS,813.5916003,0.099943351,431.7318631,391.9098489,319.2348208,205.5035241,469.1230788,271.8768934,484.9407966,369.4223292,1.677713251,0.000231494,6.701458521,5.325463183,6.150865162,6.184026815,6.067804708,-2.303151743,5.765926947,5.911940513
957_1272_428_594,x30,004_CC_2_15v_x30_BSE,004CC,NKBS,773.9273927,0.098972605,445.5934456,377.0509708,287.0631004,206.3762106,428.3124017,238.21891,460.4699658,362.3212619,1.680733707,0.000222114,6.651478061,5.329700768,6.05985284,6.132247633,6.099406979,-2.312912186,5.659702054,5.892531282
925_586_406_649,x30,004_CC_2_15v_x30_BSE,004CC,NKBS,877.9637799,0.111302904,415.4026181,347.601689,331.4764888,193.4638152,365.0484293,197.7790065,413.770446,397.4326481,2.121861985,0.00026794,6.77760534,5.265090493,5.900030028,6.025311342,6.029248214,-2.195499932,5.803556883,5.985025481
1007_2000_482_590,x30,004_CC_2_15v_x30_BSE,004CC,NKBS,697.5807902,0.092637325,448.5353718,396.3179715,252.7758766,211.7426009,477.8218004,269.386596,494.3945062,342.6238538,1.410980061,0.000206533,6.547618335,5.35537139,6.169237861,6.203333794,6.105987545,-2.379063145,5.532503233,5.836633209
273_1952_537_653,x30,004_CV_1_15v_x30,004CV,NKBS,888.5261394,0.089779969,535.1141926,437.5396282,323.6764457,258.5919678,532.0394068,276.3817045,562.396477,443.2359238,1.579892791,0.000167777,6.789564067,5.555251405,6.276717559,6.332207076,6.282480168,-2.410393393,5.779744392,6.094102188
512_1472_516_603,x30,004_CV_1_15v_x30,004CV,NKBS,832.4571416,0.087972466,562.9409226,448.6628441,311.1954364,321.5070331,579.2525817,323.4702275,581.7879034,401.4396451,1.430860175,0.000156273,6.724381739,5.773019419,6.36173862,6.366105954,6.333174689,-2.430731394,5.740421128,5.995057199
994_583_476_590,x30,004_CV_1_15v_x30,004CV,NKBS,821.0876888,0.090250127,490.1017879,417.7004136,276.1354909,186.497851,514.8541296,285.521468,503.30033,407.519928,1.631407015,0.000184146,6.710629911,5.228419716,6.243883617,6.22118707,6.1946131,-2.405170278,5.620891654,6.010089834
782_991_516_572,x30,004_CV_1_15v_x30,004CV,NKBS,746.2249827,0.08370484,569.2590978,473.4708494,288.3609044,255.0452685,556.8322856,325.2499945,574.3261785,335.6493503,1.299305187,0.000147042,6.61502714,5.541441053,6.322264092,6.35319749,6.344335687,-2.48045848,5.664212836,5.816067015
1014_1357_561_555,x30,004_CV_1_15v_x30,004CV,NKBS,639.0252042,0.105153613,391.2840165,323.9749271,224.0353472,177.1527273,464.7170566,329.8885823,400.9765172,319.47039,1.593672389,0.00026874,6.459943897,5.177012227,6.14142874,5.993902865,5.969433681,-2.252333017,5.411803839,5.766664593
813_770_412_533,x30,004i_CV_1_15v_x30.BSE,004iCV,NKBS,658.2483223,0.103944639,404.3746124,338.2476033,274.2584046,159.2729837,496.69967,317.9298899,450.5434034,299.1021214,1.461009788,0.00025705,6.48958225,5.070619608,6.207985558,6.110454417,6.002341707,-2.263896837,5.614070744,5.700785058
289_1403_406_551,x30,004i_CV_1_15v_x30.BSE,004iCV,NKBS,768.0219711,0.101423622,444.2837558,363.5909355,303.3415868,195.8697912,412.0293854,244.3136043,482.5625384,357.5422676,1.591549095,0.000228286,6.643818341,5.277450108,6.021094671,6.179110526,6.096463448,-2.288449261,5.71485952,5.879253586
601_1090_392_575,x30,004i_CV_1_15v_x30.BSE,004iCV,NKBS,787.4676675,0.099428156,426.5604751,356.7449153,269.1604044,159.2729837,313.6876456,148.7438645,420.0407451,372.486186,1.874741145,0.000233093,6.668822313,5.070619608,5.748397732,6.040351719,6.055754151,-2.308319943,5.595307501,5.920199953
53_1076_387_577,x30,004i_CV_1_15v_x30.BSE,004iCV,NKBS,809.55017,0.095838213,461.6983603,401.4651738,322.2398807,205.2847728,420.711181,242.1922859,498.8113396,355.8200304,1.622958633,0.000207578,6.696478748,5.324398151,6.041946567,6.212227947,6.134911778,-2.345093789,5.775296239,5.87442507
647_435_391_529,x30,004i_CV_1_15v_x30.BSE,004iCV,NKBS,667.2076523,0.099980689,426.1293559,354.5244262,273.6832747,162.2541063,390.2247763,232.016957,422.4454672,267.5339898,1.579393565,0.000234625,6.50310132,5.089163664,5.966722923,6.046060367,6.054742952,-2.302778222,5.611971506,5.589246623
789_1775_477_551,x30,004i_CV_1_15v_x30.BSE,004iCV,NKBS,679.9000281,0.100091773,438.6149789,362.394422,286.2999139,162.3883116,446.2712568,285.4833171,463.2851141,294.1239317,1.467562862,0.0002282,6.52194577,5.089990452,6.100926966,6.138342662,6.083621987,-2.301667788,5.657039912,5.684001215
1075_1073_362_581,x30,004i_CV_2_15v_x30.BSE,004iCV,NKBS,749.6273041,0.100776788,426.3721137,354.094038,271.8283614,176.6601651,390.1235801,233.3685746,431.0690922,349.9059823,1.738995715,0.000236359,6.619576155,5.174227916,5.966463561,6.066268384,6.055312471,-2.294847226,5.605170843,5.857664496
626_1051_380_498,x30,004i_CV_2_15v_x30.BSE,004iCV,NKBS,668.6264206,0.099683618,447.7667356,368.2863704,276.7249598,178.2483778,401.3294955,256.0362772,442.6781035,278.7860733,1.510412228,0.000222624,6.505225489,5.183177958,5.994782774,6.092842877,6.104272417,-2.305753933,5.623024088,5.630444725
688_428_330_506,x30,004i_CV_2_15v_x30.BSE,004iCV,NKBS,624.1246089,0.106034568,390.6432406,315.0259668,239.6130281,170.0951166,328.2335432,185.9934364,371.2137808,266.4951119,1.681307756,0.000271436,6.436350042,5.13635779,5.793725377,5.916778125,5.967794715,-2.243990124,5.479025239,5.585355902
746_562_443_548,x30,005_CV_1_15v_x30,005CV,NKBS,762.3476628,0.088893751,508.9147436,407.3501782,276.0912435,238.4474174,533.279108,276.5836066,528.9029872,382.9171819,1.441375226,0.000174673,6.636402702,5.474148814,6.279044942,6.270805026,6.232280505,-2.42031343,5.620731404,5.947818731
886_1329_364_596,x30,005_CV_1_15v_x30_BSE,005CV,NKBS,747.5411447,0.108148114,389.4529281,335.0850941,281.4211783,141.9525622,452.2204895,292.6427038,432.3558308,354.8313925,1.728995173,0.000277692,6.616789347,4.955492933,6.11416987,6.069248932,5.964743006,-2.224253561,5.639852402,5.871642726
668_380_344_514,x30,005_CV_1_15v_x30_BSE,005CV,NKBS,709.2274094,0.113582515,381.5594037,314.5978041,298.1533615,166.2003738,399.8305908,255.7755776,421.726136,292.9326848,1.681725055,0.00029768,6.564176222,5.113194131,5.991040934,6.044356137,5.94426655,-2.175225702,5.69760799,5.679942838
122_940_430_587,x30,005_CV_1_15v_x30_BSE,005CV,NKBS,752.520481,0.098167787,431.3122265,372.751056,264.1639484,165.5437123,437.5458517,246.3227139,463.9341438,371.2464287,1.6220416,0.000227603,6.623428213,5.109235282,6.081181504,6.139742611,6.066832251,-2.321077148,5.576569927,5.91686607
550_574_376_584,x30,005_CV_2_15v_x30_BSE,005CV,NKBS,805.6321258,0.104739221,420.6140826,352.2590219,306.896029,175.4149474,354.1209526,198.5759517,427.5679139,382.9103753,1.88422026,0.000249015,6.691627219,5.167154295,5.869638529,6.058113139,6.041715745,-2.256281624,5.726509023,5.947800955
1075_544_374_571,x30,005_CV_2_15v_x30_BSE,005CV,NKBS,710.4089763,0.101478336,403.8827337,339.6495013,253.9994331,170.9335203,404.8692563,238.8353782,447.5720888,362.6445517,1.587250399,0.000251257,6.565840827,5.141274711,6.003564191,6.103837617,6.001124573,-2.287909945,5.537332035,5.893423158
