"boxID","magnification","imageName","colony.id","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side","zooid.id"
"164_761_253_307","x30","268_CV_1_15v_x30_BSE","268CV","NKBS",430.847942009159,0.141549814082962,247.546753697679,194.719471947195,176.607100325131,89.1089108910891,216.228294789435,145.214521452145,243.520974250588,182.360662179401,1.76924366919544,0.000571810423560765,6.06575522509124,4.4898593394771,5.37633476985858,5.49520307536583,5.51159946799767,-1.95510358086231,5.1739274930532,5.20598638650448,"164_761_253_307_268_CV_1_15v_x30_BSE"
"119_571_274_297","x30","269_CV_1_15v_x30_BSE","269CV","NKBS",363.171292035229,0.153533008583981,215.761836682259,169.123801654376,162.76202330457,59.9761777075454,188.581447223256,110.561056105611,204.100798652604,136.002861309558,1.77937222408118,0.000711585565570064,5.89487460184995,4.09394744517398,5.23952999432803,5.31861398285373,5.37417519141231,-1.87383969543754,5.09228915427132,4.9126759245556,"119_571_274_297_269_CV_1_15v_x30_BSE"
"99_251_260_293","x30","269_CV_1_15v_x30_BSE","269CV","NKBS",346.786016017912,0.145717049709505,218.202737175265,183.198047121902,153.823018399251,76.5505841897241,186.826083425334,112.259744895676,210.355590494752,129.20351402984,1.64857047631717,0.000667805782804925,5.84870792119234,4.33795175355366,5.23017814894491,5.34879938679176,5.38542461766156,-1.92608855334439,5.03580271036741,4.86138878935201,"99_251_260_293_269_CV_1_15v_x30_BSE"
"396_602_221_276","x30","269_CV_1_15v_x30_BSE","269CV","NKBS",384.389284510974,0.152848545115822,212.307694068412,172.408684971736,146.729862477577,75.9075907590759,194.971029541148,119.543038127227,214.62297673781,167.509744839647,1.79099782489997,0.000719938793487953,5.95165580082563,4.32951668940192,5.272850981071,5.36888289220901,5.3580366095429,-1.87830774906925,4.98859322597078,5.12104152771998,"396_602_221_276_269_CV_1_15v_x30_BSE"
"374_954_178_323","x30","269_CV_1_15v_x30_BSE","269CV","NKBS",418.400633445293,0.188992606592569,170.095116568385,132.116296377875,154.380861842821,59.2452906634199,140.098912718093,77.7681298214401,155.719979450014,189.77373602767,2.68687829861677,0.00111109954480431,6.03643942672015,4.08168629438242,4.94234869255691,5.0480593907747,5.13635778980913,-1.66604738324548,5.03942267811282,5.24583249950742,"374_954_178_323_269_CV_1_15v_x30_BSE"
"560_1062_194_296","x30","269_CV_1_15v_x30_BSE","269CV","NKBS",400.007624452163,0.171513504253524,181.548152336305,150.300957580669,153.726350077399,64.8831790473185,138.613861386139,79.636491828473,168.833736797738,176.895262589321,2.36923989268431,0.000944727346692068,5.99148360805673,4.17258840748651,4.93169209175614,5.12891442473784,5.20152092064692,-1.76309327347307,5.03517407422022,5.17555782064503,"560_1062_194_296_269_CV_1_15v_x30_BSE"
"285_339_197_316","x30","269_CV_2_15v_x30_BSE","269CV","NKBS",369.891031260299,0.164421171108014,177.498241709899,155.719979450014,152.781687578501,88.4494606155604,186.417528552106,100.239884808498,203.639991000035,148.783517979479,1.81639681598805,0.000926325632998339,5.91320845215435,4.48243132240247,5.22798893512697,5.31635368483867,5.17896070300668,-1.80532402662195,5.02901002385992,5.00249234999701,"285_339_197_316_269_CV_2_15v_x30_BSE"
"211_712_220_278","x30","269_CV_2_15v_x30_BSE","269CV","NKBS",331.847323219518,0.138417771720726,216.12122457005,189.66132690686,141.272093872927,83.8342296757791,262.4800010691,186.022715129267,260.145780262989,157.038351302998,1.27562062657347,0.00064046357314555,5.8046749933232,4.42884139277213,5.57017489272592,5.56124216720495,5.37583947511774,-1.97747883565547,4.9506877745942,5.0564900513331,"211_712_220_278_269_CV_2_15v_x30_BSE"
"261_164_191_268","x30","269_CV_2_15v_x30_BSE","269CV","NKBS",395.110295826434,0.159282065953155,192.107842670696,160.507709432694,160.918168605734,96.1070612446273,201.522919022287,123.155829419441,212.128054986509,179.030790569346,1.86260273706636,0.000829128388194908,5.97916495586404,4.56546279136872,5.30590311696469,5.35719012527277,5.25805689492083,-1.83707864873551,5.08089596624212,5.18755780540187,"261_164_191_268_269_CV_2_15v_x30_BSE"
"442_461_221_229","x30","269_CV_2_15v_x30_BSE","269CV","NKBS",283.948282296508,0.150907514479889,190.027088063088,163.399669900004,135.738670554448,107.273418898647,229.663609540684,143.716015642264,218.221455509129,107.289914615638,1.30119323800693,0.000794136857108435,5.64879211698839,4.67538089200082,5.43661567111334,5.38551039812098,5.24716663075162,-1.89108811670209,4.91073149716877,4.67553465282057,"442_461_221_229_269_CV_2_15v_x30_BSE"
